Strategy,RSI2,,,,,,,
Exchange,Binance,,,,,,,
Symbol,ETH-USDT,,,,,,,
Warmup,400,,,,,,,
Starting Capital,10000,,,,,,,
Leverage Mode,Isolated,,,,,,,
Leverage (x),10,,,,,,,
Risk percent,3%,,,,,,,
DateTime,2021-06-01 => 2021-12-31,,,,,,,
,,,,,,,,
,,,,,,,,
Tmeframe,1m,3m,5m,15m,30m,45m,1h,2h
Total Closed Trades,6921,2327,1432,490,258,184,129,71
Total Net Profit,212.65 (2.13%),166.59 (1.67%),129.11 (1.29%),127.36 (1.27%),70.34 (0.7%),42.42 (0.42%),-8.69 (-0.09%),31.54 (0.32%)
Starting => Finishing Balance,10000 => 10212.65,10000 => 10166.59,10000 => 10129.11,10000 => 10127.36,10000 => 10070.34,10000 => 10042.42,10000 => 9991.31,10000 => 10031.54
Open Trades,0,0,0,0,0,0,0,0
Total Paid Fees,0,0,0,0,0,0,0,0
Max Drawdown,-0.21%,-0.28%,-0.33%,-0.23%,-0.55%,-0.61%,-0.80%,-0.59%
Annual Return,3.67%,2.87%,2.22%,2.19%,1.21%,0.73%,-0.15%,0.54%
Expectancy,0.03 (0%),0.07 (0%),0.09 (0%),0.26 (0%),0.27 (0%),0.23 (0%),-0.07 (0%),0.44 (0%)
Avg Win | Avg Loss,0.34 | 0.52,0.58 | 0.92,0.7 | 1.27,1.31 | 2.11,1.99 | 3.1,2.58 | 5,2.88 | 7.13,4.73 | 9.75
Ratio Avg Win / Avg Loss,0,0,0,0,0,0,0,0
Win-rate,64.16%,66.22%,69.04%,69.39%,66.28%,69.02%,70.54%,70.42%
Longs | Shorts,100% | 0%,99.96% | 0.04%,99.86% | 0.14%,99.18% | 0.82%,97.67% | 2.33%,97.28% | 2.72%,95.35% | 4.65%,91.55% | 8.45%
Avg Holding Time,0h 4m 11.54s,0h 12m 7.14s,0h 19m 38.46s,0h 59m 51.67s,1h 57m 54.42s,3h 7m 58.04s,4h 6m 38.6s,7h 54m 30.42s
Winning Trades Avg Holding Time,0h 2m 43.91s,0h 8m 8.32s,0h 13m 18.34s,0h 41m 26.82s,1h 21m 49.47s,2h 12m 43.46s,2h 50m 7.91s,5h 57m 25.2s
Losing Trades Avg Holding Time,0h 6m 49.64s,0h 20m 14.77s,0h 33m 46.19s,1h 41m 36s,3h 8m 49.66s,5h 11m 3.16s,7h 9m 52.11s,12h 33m 17.14s
Sharpe Ratio,5.28,3.76,3.1,3.18,1.51,0.78,-0.15,0.51
Calmar Ratio,17.21,10.37,6.82,9.5,2.22,1.19,-0.19,0.92
Sortino Ratio,9.32,6.27,4.48,5.05,2.39,1.02,-0.19,0.67
Omega Ratio,2.08,1.75,1.55,1.71,1.36,1.17,0.97,1.14
Winning Streak,17,18,17,16,9,7,8,6
Losing Streak,8,6,5,4,5,3,3,3
Largest Winning Trade,5.03,6.91,3.64,14.66,10.56,10.33,31.35,27.65
Largest Losing Trade,-15.46,-13.74,-14.77,-17.02,-21.31,-30,-30,-30
Total Winning Trades,4385,1521,988,340,171,127,91,50
Total Losing Trades,2450,776,443,150,87,57,38,21
